word,attempts,solved
loued,4,True
owari,4,True
liana,5,True
lacka,5,True
fuses,7,True
jenny,9,True
grege,6,True
scuta,5,True
gents,7,True
unlet,5,True
seaze,8,True
rabis,5,True
fuzes,6,True
kaika,5,True
banya,4,True
refed,8,True
ankhs,4,True
wolly,9,True
riced,4,True
rouen,3,True
rimes,4,True
phony,3,True
boule,4,True
ninon,4,True
epoxy,5,True
islet,3,True
redry,5,True
bosks,6,True
gadge,9,True
biffy,6,True
shire,3,True
defog,4,True
kurta,4,True
kandy,9,True
gogos,7,True
waift,4,True
coves,6,True
cions,4,True
takky,5,True
shiai,4,True
pavid,4,True
taker,6,True
exits,6,True
rolfs,3,True
ourey,3,True
glugs,6,True
poesy,3,True
urate,7,True
wexed,7,True
fonio,5,True
crems,5,True
nitro,3,True
bubba,7,True
blind,3,True
dempt,4,True
dowly,4,True
drove,7,True
snift,4,True
acres,5,True
pasch,4,True
woads,6,True
aband,4,True
caulk,3,True
taxer,9,True
marsh,4,True
cavas,7,True
foamy,4,True
murex,4,True
spins,4,True
gomer,5,True
telex,4,True
krona,3,True
apron,3,True
pacey,4,True
scamp,5,True
dawks,6,True
maces,4,True
roily,2,True
herds,6,True
omdah,4,True
clogs,6,True
roneo,4,True
uncus,5,True
abash,5,True
laura,4,True
kawau,5,True
laldy,4,True
dault,4,True
rosco,3,True
centu,4,True
metho,4,True
lymph,4,True
donsy,3,True
parte,2,True
never,6,True
outre,3,True
calfs,6,True
acros,3,True
malam,6,True
wrath,5,True
togue,3,True
wools,6,True
organ,4,True
walla,6,True
merge,4,True
fizzy,7,True
hevel,6,True
nawal,6,True
uraos,4,True
tossy,4,True
ivory,4,True
soddy,6,True
finis,4,True
spule,4,True
gooks,6,True
todos,8,True
phots,4,True
blobs,6,True
nancy,5,True
flans,7,True
rayle,3,True
tinas,3,True
kanzu,5,True
pross,10,True
peeky,5,True
mizen,4,True
nills,5,True
vomit,3,True
ingle,5,True
taper,4,True
basks,7,True
delos,4,True
pipit,5,True
coqui,4,True
vitex,5,True
nikau,4,True
skiey,4,True
betid,4,True
whelk,5,True
pinds,3,True
skank,7,True
deash,5,True
kaies,4,True
chevy,5,True
sirra,3,True
cupel,4,True
muvva,5,True
tamer,3,True
absit,4,True
mutha,4,True
piano,3,True
squid,3,True
marah,6,True
moups,3,True
volet,4,True
coram,3,True
faver,8,True
wooly,9,True
fifty,7,True
pombe,4,True
airer,3,True
spout,6,True
pussy,6,True
gimme,4,True
zoeal,4,True
frorn,5,True
phene,5,True
mulga,5,True
miaou,4,True
quasi,4,True
sokah,3,True
vests,12,True
doble,5,True
romal,3,True
mappy,5,True
obols,6,True
posed,3,True
ooses,9,True
stere,6,True
decan,5,True
fauna,5,True
nates,7,True
payee,5,True
jasps,9,True
doily,2,True
peent,5,True
gibli,4,True
nasal,3,True
orgic,5,True
towie,3,True
roaky,4,True
surra,4,True
study,4,True
kanes,8,True
brere,5,True
fikes,7,True
untax,5,True
becks,5,True
fleam,7,True
torta,3,True
fluty,4,True
buteo,4,True
pecia,4,True
goold,4,True
nurse,6,True
rebab,7,True
vouch,6,True
mimer,5,True
allyl,4,True
house,7,True
idols,4,True
fells,10,True
wombs,5,True
cysts,4,True
osetr,4,True
lurch,4,True
coude,4,True
narks,7,True
pargo,5,True
spick,4,True
gungy,6,True
ixtle,5,True
jawns,9,True
lolls,10,True
limbs,5,True
thagi,4,True
clued,4,True
nouls,4,True
milos,3,True
goats,6,True
mailo,3,True
thins,3,True
porge,4,True
mukti,4,True
ajwan,5,True
norks,5,True
gulph,4,True
grabs,7,True
okehs,4,True
avyze,5,True
delly,6,True
heuch,5,True
baron,5,True
phare,5,True
wires,7,True
rakis,6,True
celts,4,True
coder,5,True
pitch,4,True
doree,4,True
temed,5,True
parra,7,True
waken,5,True
suing,3,True
cirri,5,True
bulbs,6,True
jokol,5,True
melts,4,True
metro,3,True
iroko,6,True
ashen,4,True
gawps,6,True
pavon,4,True
prees,4,True
piezo,3,True
loden,3,True
acorn,5,True
ohone,5,True
bemix,5,True
soils,8,True
guffs,6,True
mandy,4,True
chuse,4,True
sneak,6,True
googs,5,True
quaws,7,True
skeev,8,True
noncy,4,True
shart,4,True
jibed,6,True
rumpo,3,True
quina,4,True
bourd,4,True
minse,3,True
watap,5,True
shook,6,True
ewers,9,True
newbs,6,True
ghoul,5,True
horsy,4,True
edger,7,True
klang,6,True
raffy,6,True
spore,4,True
moror,5,True
veeps,10,True
mamma,6,True
shoyu,4,True
obese,4,True
stash,3,True
karai,6,True
iambi,6,True
shiny,3,True
danse,4,True
korai,5,True
sdein,3,True
favor,6,True
deres,8,True
lotsa,3,True
ouped,3,True
khana,5,True
brees,5,True
crude,4,True
wasts,10,True
nomes,4,True
degas,4,True
woold,5,True
eiked,8,True
hajes,10,True
snowk,5,True
bitts,8,True
criss,7,True
gonof,5,True
hajis,6,True
apayd,4,True
prost,3,True
rauns,3,True
cuter,6,True
rived,5,True
tusky,3,True
veggo,6,True
lexis,6,True
fling,6,True
naunt,10,True
woven,7,True
hippo,5,True
pelts,4,True
uredo,5,True
brith,4,True
eilds,4,True
bhava,5,True
loids,4,True
turnt,4,True
fluor,4,True
lyard,3,True
belon,4,True
sahab,6,True
smite,6,True
yacca,5,True
palls,6,True
shets,6,True
preve,5,True
dilli,3,True
vairy,7,True
cowan,4,True
lithe,4,True
field,4,True
klick,6,True
fayre,5,True
snabs,7,True
papaw,5,True
goaft,4,True
missy,5,True
spaza,6,True
